"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","VersionInfo","BaseName","Target","LinkType","Length","DirectoryName","Directory","IsReadOnly","FullName","Extension","Name","Exists","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\Audits\Commercial_audit_checklist_tool.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\Audits","Commercial_audit_checklist_tool.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\Audits\Commercial_audit_checklist_tool.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Commercial_audit_checklist_tool",,,"221129","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\Audits","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\Audits","False","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\Audits\Commercial_audit_checklist_tool.xlsx",".xlsx","Commercial_audit_checklist_tool.xlsx","True","1/23/2017 1:03:10 PM","1/23/2017 6:03:10 PM","4/20/2022 8:11:37 PM","4/21/2022 12:11:37 AM","7/14/2016 9:54:45 AM","7/14/2016 1:54:45 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests","DoD_Master_Office_2010_Settings_v1.0.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","DoD_Master_Office_2010_Settings_v1.0",,,"319973","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests","False","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests\DoD_Master_Office_2010_Settings_v1.0.xlsx",".xlsx","DoD_Master_Office_2010_Settings_v1.0.xlsx","True","1/23/2017 1:03:10 PM","1/23/2017 6:03:10 PM","4/20/2022 8:11:37 PM","4/21/2022 12:11:37 AM","7/14/2016 12:02:54 PM","7/14/2016 4:02:54 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests","Microsoft Office 2010 Service Pack 1 Changes.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Microsoft Office 2010 Service Pack 1 Changes",,,"40225","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests","False","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests\Microsoft Office 2010 Service Pack 1 Changes.xlsx",".xlsx","Microsoft Office 2010 Service Pack 1 Changes.xlsx","True","1/23/2017 1:03:10 PM","1/23/2017 6:03:10 PM","4/20/2022 8:11:37 PM","4/21/2022 12:11:37 AM","7/14/2016 12:02:26 PM","7/14/2016 4:02:26 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests","thoughtfarmer-intranet-content-migration-worksheet.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","thoughtfarmer-intranet-content-migration-worksheet",,,"30931","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests","False","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\ChangeRequests\thoughtfarmer-intranet-content-migration-worksheet.xlsx",".xlsx","thoughtfarmer-intranet-content-migration-worksheet.xlsx","True","1/23/2017 1:03:10 PM","1/23/2017 6:03:10 PM","4/20/2022 8:11:37 PM","4/21/2022 12:11:37 AM","7/14/2016 12:02:35 PM","7/14/2016 4:02:35 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\CoverLetters\the-cover-letter.docx","Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\CoverLetters","the-cover-letter.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\CoverLetters\the-cover-letter.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","the-cover-letter",,,"22892","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\CoverLetters","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\CoverLetters","False","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\CoverLetters\the-cover-letter.docx",".docx","the-cover-letter.docx","True","1/23/2017 1:03:10 PM","1/23/2017 6:03:10 PM","4/20/2022 8:11:37 PM","4/21/2022 12:11:37 AM","1/22/2017 9:22:39 PM","1/23/2017 2:22:39 AM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","3yr-Project-Financial-Report-Template.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","3yr-Project-Financial-Report-Template",,,"145129","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","False","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\3yr-Project-Financial-Report-Template.xlsx",".xlsx","3yr-Project-Financial-Report-Template.xlsx","True","1/23/2017 1:03:10 PM","1/23/2017 6:03:10 PM","4/20/2022 8:11:37 PM","4/21/2022 12:11:37 AM","1/22/2017 8:02:24 PM","1/23/2017 1:02:24 AM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","82808-Annual Report Financial Overview Template and Graphs.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","82808-Annual Report Financial Overview Template and Graphs",,,"3079772","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","False","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\82808-Annual Report Financial Overview Template and Graphs.xlsx",".xlsx","82808-Annual Report Financial Overview Template and Graphs.xlsx","True","1/23/2017 1:03:10 PM","1/23/2017 6:03:10 PM","4/20/2022 8:11:37 PM","4/21/2022 12:11:37 AM","1/22/2017 8:02:41 PM","1/23/2017 1:02:41 AM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","FinancialStatementFY12Q2.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","FinancialStatementFY12Q2",,,"78249","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","False","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\FinancialStatementFY12Q2.xlsx",".xlsx","FinancialStatementFY12Q2.xlsx","True","1/23/2017 1:03:10 PM","1/23/2017 6:03:10 PM","4/20/2022 8:11:37 PM","4/21/2022 12:11:37 AM","7/14/2016 12:02:21 PM","7/14/2016 4:02:21 PM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","GPAF IMP 067 Annual Financial Report 300414.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","GPAF IMP 067 Annual Financial Report 300414",,,"184360","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","False","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\GPAF IMP 067 Annual Financial Report 300414.xlsx",".xlsx","GPAF IMP 067 Annual Financial Report 300414.xlsx","True","1/23/2017 1:03:11 PM","1/23/2017 6:03:11 PM","4/20/2022 8:11:37 PM","4/21/2022 12:11:37 AM","1/22/2017 8:03:25 PM","1/23/2017 1:03:25 AM",,"Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","Microsoft.PowerShell.Core\FileSystem::C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","SBR FY 2016 Annual Report Template 7-21-16 Final",,,"47716","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements","False","C:\Github-Repos\SYS-320-01-Automation-Scripting\Week13\homework\Documents\FinancialStatements\SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx",".xlsx","SBR FY 2016 Annual Report Template 7-21-16 Final.xlsx","True","1/23/2017 1:03:11 PM","1/23/2017 6:03:11 PM","4/20/2022 8:11:37 PM","4/21/2022 12:11:37 AM","1/22/2017 8:02:22 PM","1/23/2017 1:02:22 AM",,"Archive"
